Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
132,Danny Jansen,17,2023,28,TOR,AL,86,301,268,38,61,29,15,0,17,53,0,0,23,62,.228,.312,.474,.786,115,127,3,10,0,0,1,2H/D,janseda01
133,Ha-Seong Kim,17,2023,27,SDP,NL,152,626,538,84,140,100,23,0,17,60,38,9,75,124,.260,.351,.398,.749,110,214,7,3,5,5,1,456/HD,kimha01
134,Nathaniel Lowe,17,2023,27,TEX,AL,161,724,623,89,163,105,38,3,17,82,1,0,93,165,.262,.360,.414,.775,111,258,22,5,0,3,2,*3,lowena01
135,Josh Naylor,17,2023,26,CLE,AL,121,495,452,52,139,91,31,0,17,97,10,3,33,68,.308,.354,.489,.842,133,221,11,3,0,7,9,3D/H9,naylojo01
136,Nelson Velázquez,17,2023,24,CHCKCR,ALNL,53,179,162,35,38,15,6,0,17,34,0,0,14,51,.235,.302,.586,.888,136,95,3,2,0,1,0,9D/7H8,velazne01
137,LaMonte Wade Jr.,17,2023,29,SFG,NL,135,519,429,64,110,77,14,2,17,45,2,0,76,95,.256,.373,.417,.790,119,179,4,6,4,4,3,*3H7/9D8,wadela01
138,Mike Ford,16,2023,30,SEA,AL,83,251,219,32,50,28,6,0,16,34,0,0,24,81,.228,.323,.475,.798,122,104,4,7,0,1,0,DH3/1,fordmi01
139,Randal Grichuk,16,2023,31,COLLAA,ALNL,118,471,434,65,116,67,31,2,16,44,2,2,29,96,.267,.321,.459,.779,103,199,11,6,0,2,2,798D/H,grichra01
140,Austin Hays,16,2023,27,BAL,AL,144,566,520,76,143,89,36,2,16,67,5,1,38,141,.275,.325,.444,.769,114,231,11,3,0,5,1,*7/89HD,haysau01
141,Edouard Julien,16,2023,24,MIN,AL,109,408,338,60,89,56,16,1,16,37,3,0,64,128,.263,.381,.459,.839,130,155,8,2,1,3,0,4DH/3,julieed01
142,Matt McLain,16,2023,23,CIN,NL,89,403,365,65,106,63,23,4,16,50,14,5,31,115,.290,.357,.507,.864,129,185,5,7,0,0,0,64/DH,mclaima01
143,MJ Melendez,16,2023,24,KCR,AL,148,602,533,65,125,75,29,5,16,56,6,4,62,170,.235,.316,.398,.713,95,212,4,3,0,4,2,*97D2/H3,melenmj01
144,Ryan Noda,16,2023,27,OAK,AL,128,495,406,63,93,54,22,1,16,54,3,1,77,170,.229,.364,.406,.770,121,165,4,10,0,2,1,*3H/9D7,nodary01
145,Tommy Pham,16,2023,35,ARINYM,NL,129,481,426,55,109,63,27,3,16,68,22,3,47,106,.256,.328,.446,.774,111,190,11,2,0,6,1,7DH9/8,phamth01
146,Luis Rengifo,16,2023,26,LAA,AL,126,445,394,55,104,69,15,4,16,51,6,4,41,82,.264,.339,.444,.783,111,175,3,6,0,4,0,4659H/78,rengilu01
147,Jordan Walker,16,2023,21,STL,NL,117,465,420,51,116,79,19,2,16,51,7,4,37,104,.276,.342,.445,.787,114,187,9,6,0,2,0,*97/DH,walkejo02
148,Michael Conforto,15,2023,30,SFG,NL,125,470,406,58,97,68,14,0,15,58,4,0,53,106,.239,.334,.384,.718,99,156,12,7,0,4,4,*97DH,confomi01
149,Jake Fraley,15,2023,28,CIN,NL,111,380,336,41,86,53,18,0,15,65,21,5,37,71,.256,.339,.443,.783,109,149,5,6,0,1,2,97HD,fraleja01
150,Andrés Giménez,15,2023,24,CLE,AL,153,616,557,76,140,93,27,5,15,62,30,6,32,112,.251,.314,.399,.712,98,222,10,20,4,3,3,*4/H,gimenan01
151,Ke'Bryan Hayes,15,2023,26,PIT,NL,124,525,494,65,134,81,31,7,15,61,10,6,28,104,.271,.309,.453,.762,105,224,11,0,0,3,1,*5/DH,hayeske01
152,Jason Heyward,15,2023,33,LAD,NL,124,377,334,56,90,52,23,0,15,40,2,2,34,64,.269,.340,.473,.813,117,158,7,3,0,3,1,*98H/73D,heywaja01
153,DJ LeMahieu,15,2023,34,NYY,AL,136,562,497,55,121,81,22,3,15,44,2,2,60,125,.243,.327,.390,.718,96,194,14,3,0,2,2,53/4HD,lemahdj01
154,Royce Lewis,15,2023,24,MIN,AL,58,239,217,36,67,45,7,0,15,52,6,1,20,55,.309,.372,.548,.921,150,119,5,2,0,0,0,5/DH6,lewisro02
155,Martín Maldonado,15,2023,36,HOU,AL,116,407,362,33,69,42,12,0,15,36,0,0,30,139,.191,.258,.348,.606,66,126,10,3,12,0,0,*2/1,maldoma01
156,Michael Massey,15,2023,25,KCR,AL,129,461,428,42,98,64,18,1,15,55,6,2,24,99,.229,.274,.381,.655,78,163,3,4,1,4,0,*4H/D,massemi02
157,Cedric Mullins,15,2023,28,BAL,AL,116,455,404,51,94,53,23,3,15,74,19,3,43,101,.233,.305,.416,.721,101,168,6,1,3,4,1,*8/HD,mullice01
158,Joc Pederson,15,2023,31,SFG,NL,121,425,358,59,84,52,14,3,15,51,0,0,57,89,.235,.348,.416,.764,111,149,12,7,0,3,6,D7H/93,pederjo01
159,Bryson Stott,15,2023,25,PHI,NL,151,640,585,78,164,115,32,2,15,62,31,3,39,100,.280,.329,.419,.747,104,245,10,7,1,8,1,*4/HD,stottbr01
160,Chris Taylor,15,2023,32,LAD,NL,117,384,338,51,80,49,15,1,15,56,16,3,41,125,.237,.326,.420,.746,100,142,2,4,0,1,2,765H/D84,tayloch03
161,Ezequiel Tovar,15,2023,21,COL,NL,153,615,581,79,147,91,37,4,15,73,11,5,25,166,.253,.287,.408,.695,77,237,10,4,2,3,0,*6,tovarez01
162,Mike Yastrzemski,15,2023,32,SFG,NL,106,381,330,54,77,38,23,1,15,43,2,2,45,99,.233,.330,.445,.775,113,147,5,3,2,1,3,987H/D,yastrmi01
163,Masataka Yoshida,15,2023,29,BOS,AL,140,580,537,71,155,104,33,3,15,72,8,0,34,81,.289,.338,.445,.783,109,239,20,7,0,2,0,7D/H,yoshima02
164,Seth Brown,14,2023,30,OAK,AL,112,378,343,33,76,42,19,1,14,52,3,1,30,101,.222,.286,.405,.692,96,139,6,2,1,2,1,97HD3,brownse01
165,Paul DeJong,14,2023,29,SFGSTLTOR,ALNL,112,400,372,41,77,50,13,0,14,38,4,4,21,121,.207,.258,.355,.612,66,132,10,5,0,2,0,*6/H4D,dejonpa01
166,Elías Díaz,14,2023,32,COL,NL,141,526,486,48,130,90,25,1,14,72,1,0,34,118,.267,.316,.409,.725,86,199,12,2,0,4,0,*2H/D,diazel01
167,Ezequiel Durán,14,2023,24,TEX,AL,122,439,406,55,112,74,22,2,14,46,8,4,23,120,.276,.324,.443,.768,106,180,7,7,1,2,1,675D/4H39,duranez01
168,Thairo Estrada,14,2023,27,SFG,NL,120,530,495,63,134,92,26,2,14,49,23,7,22,120,.271,.315,.416,.731,101,206,10,11,0,2,1,46/7D,estrath01
169,Zack Gelof,14,2023,23,OAK,AL,69,300,270,40,72,37,20,1,14,32,14,2,26,82,.267,.337,.504,.840,137,136,5,3,0,1,1,4,gelofza01
170,Ryan Jeffers,14,2023,26,MIN,AL,96,335,286,46,79,48,15,2,14,43,3,2,33,93,.276,.369,.490,.858,134,140,6,10,4,2,1,2H/D,jeffery01
171,Mickey Moniak,14,2023,25,LAA,AL,85,323,311,35,87,50,21,2,14,45,6,3,9,113,.280,.307,.495,.802,113,154,4,3,0,0,1,897/H,moniami01
172,Lars Nootbaar,14,2023,25,STL,NL,117,503,426,74,111,73,23,1,14,46,11,1,72,99,.261,.367,.418,.784,115,178,7,1,1,3,2,*897/HD,nootbla01
173,Ryan O'Hearn,14,2023,29,BAL,AL,112,368,346,48,100,63,22,1,14,60,5,1,15,82,.289,.322,.480,.801,122,166,2,3,1,3,2,39HD/7,ohearry01
174,Logan O'Hoppe,14,2023,23,LAA,AL,51,199,182,23,43,23,6,0,14,29,0,1,14,48,.236,.296,.500,.796,111,91,4,2,0,1,0,2/DH,ohopplo01
175,Jorge Polanco,14,2023,29,MIN,AL,80,343,302,38,77,45,18,0,14,48,4,0,36,88,.255,.335,.454,.789,115,137,2,2,0,3,0,45D/H,polanjo01
176,Jesús Sánchez,14,2023,25,MIA,NL,125,402,360,43,91,51,23,3,14,52,3,1,38,107,.253,.327,.450,.777,108,162,12,2,1,1,1,*9H/87D,sanchje02
177,Leody Taveras,14,2023,24,TEX,AL,143,554,511,67,136,88,31,3,14,67,14,4,35,117,.266,.312,.421,.733,97,215,3,1,3,4,0,*8/HD,taverle01
178,Joey Votto,14,2023,39,CIN,NL,65,242,208,26,42,22,6,0,14,38,0,0,27,62,.202,.314,.433,.747,99,90,2,7,0,0,0,3D/H,vottojo01
179,Matt Wallner,14,2023,25,MIN,AL,76,254,213,42,53,27,11,1,14,41,2,1,28,80,.249,.370,.507,.877,139,108,1,13,0,0,1,79/DH,wallnma01
180,Taylor Ward,14,2023,29,LAA,AL,97,409,356,60,90,58,18,0,14,47,4,2,39,80,.253,.335,.421,.756,105,150,9,8,0,6,0,7/H3,wardta01
181,Trent Grisham,13,2023,26,SDP,NL,153,555,469,67,93,48,31,1,13,50,15,3,75,154,.198,.315,.352,.666,87,165,7,5,4,1,0,*8/H,grishtr01
182,Elly De La Cruz,13,2023,21,CIN,NL,98,427,388,67,91,56,15,7,13,44,35,8,35,144,.235,.300,.410,.710,89,159,6,2,1,1,3,65/HD,delacel01
183,Josh Donaldson,13,2023,37,MILNYY,ALNL,50,189,165,18,25,7,5,0,13,26,0,0,22,50,.152,.249,.418,.667,79,69,6,0,0,2,0,5/DH1,donaljo02
184,Tommy Edman,13,2023,28,STL,NL,137,528,479,69,119,77,25,4,13,47,27,4,35,84,.248,.307,.399,.705,91,191,9,7,3,4,1,468/9H,edmanto01
185,Christian Encarnacion-Strand,13,2023,23,CIN,NL,63,241,222,29,60,40,7,0,13,37,2,0,14,69,.270,.328,.477,.805,113,106,5,5,0,0,0,3D/5H9,encarch01
186,Adam Frazier,13,2023,31,BAL,AL,141,455,412,59,99,63,21,2,13,60,11,4,32,68,.240,.300,.396,.696,94,163,4,4,4,2,0,*4H/97D,fraziad01
187,Joey Meneses,13,2023,31,WSN,NL,154,657,611,71,168,118,36,1,13,89,0,0,38,130,.275,.321,.401,.722,99,245,15,5,0,3,0,*D3/H9,menesjo01
188,Blake Sabol,13,2023,25,SFG,NL,110,344,310,36,73,50,10,0,13,44,4,2,24,117,.235,.301,.394,.695,91,122,4,6,2,2,0,27HD,sabolbl01
189,Nick Senzel,13,2023,28,CIN,NL,104,330,301,49,71,48,10,0,13,42,6,2,26,74,.236,.297,.399,.696,85,120,9,1,0,2,0,57H89/4D,senzeni01
190,Tyler Stephenson,13,2023,26,CIN,NL,142,517,465,59,113,78,20,2,13,56,0,1,47,135,.243,.317,.378,.696,87,176,16,4,0,1,2,2DH/3,stephty01
191,Rowdy Tellez,13,2023,28,MIL,NL,105,351,311,26,67,44,9,1,13,47,0,0,35,86,.215,.291,.376,.667,82,117,11,0,0,5,2,3DH/1,tellero01
192,Alex Verdugo,13,2023,27,BOS,AL,142,602,546,81,144,89,37,5,13,54,5,3,45,93,.264,.324,.421,.745,100,230,11,6,0,5,1,*9/H,verdual01
193,Daniel Vogelbach,13,2023,30,NYM,NL,104,319,275,33,64,43,8,0,13,48,0,0,42,81,.233,.339,.404,.742,104,111,6,2,0,0,1,DH,vogelda01
194,Joey Wiemer,13,2023,24,MIL,NL,132,410,367,48,75,43,19,0,13,42,11,4,36,116,.204,.283,.362,.645,76,133,4,5,0,2,0,*89/H7,wiemejo01
195,Jake Bauers,12,2023,27,NYY,AL,84,272,242,28,49,22,15,0,12,30,3,2,27,95,.202,.279,.413,.693,87,100,3,0,0,3,0,973H/D,bauerja01
196,C.J. Cron,12,2023,33,COLLAA,ALNL,71,278,258,38,64,40,12,0,12,37,0,0,17,65,.248,.295,.434,.729,87,112,13,1,0,2,0,3/DH,croncj01
197,Ty France,12,2023,28,SEA,AL,158,665,587,79,147,103,32,0,12,58,1,0,43,117,.250,.337,.366,.703,99,215,25,34,0,1,0,*3/H,francty01
198,Brandon Marsh,12,2023,25,PHI,NL,133,472,404,58,112,69,25,6,12,60,10,2,59,144,.277,.372,.458,.829,127,185,4,4,1,4,2,*87H/9D,marshbr02
199,Andrew McCutchen,12,2023,36,PIT,NL,112,473,390,55,100,69,19,0,12,43,11,3,75,100,.256,.378,.397,.776,113,155,8,4,0,4,1,D/9H,mccutan01
200,Mike Moustakas,12,2023,34,COLLAA,ALNL,112,386,352,43,87,60,15,0,12,48,0,0,23,95,.247,.293,.392,.685,81,138,7,3,0,8,1,53HD,moustmi01
201,Edward Olivares,12,2023,27,KCR,AL,107,385,354,47,93,54,23,4,12,36,11,5,22,64,.263,.317,.452,.769,109,160,7,7,0,2,1,7DH/98,olivaed02
202,Harold Ramírez,12,2023,28,TBR,AL,122,434,400,58,125,92,19,2,12,68,5,3,22,79,.313,.353,.460,.813,125,184,7,6,0,6,0,DH/793,ramirha02
203,Anthony Rizzo,12,2023,33,NYY,AL,99,421,373,45,91,65,14,0,12,41,0,3,35,97,.244,.328,.378,.706,94,141,10,12,0,1,1,3/D,rizzoan01
204,Dominic Smith,12,2023,28,WSN,NL,153,586,527,57,134,100,21,1,12,46,1,1,47,91,.254,.326,.366,.692,92,193,12,10,0,2,1,*3/HD,smithdo02
205,Akil Baddoo,11,2023,24,DET,AL,112,357,312,40,68,43,13,1,11,34,14,3,42,89,.218,.310,.372,.682,86,116,4,0,2,1,2,7H/89D,baddoak01
206,Will Benson,11,2023,25,CIN,NL,108,329,287,51,79,45,15,8,11,31,19,3,40,103,.275,.365,.498,.863,130,143,3,1,0,1,0,97H/D8,bensowi01
207,Christian Bethancourt,11,2023,31,TBR,AL,104,332,315,49,71,44,16,0,11,33,1,0,13,91,.225,.254,.381,.635,74,120,6,0,1,3,0,2/H1D,bethach01
208,Mark Canha,11,2023,34,MILNYM,NL,139,507,435,51,114,77,25,1,11,62,11,1,49,79,.262,.355,.400,.755,108,174,11,17,0,6,1,7D93H/5,canhama01
209,Travis d'Arnaud,11,2023,34,ATL,NL,74,292,267,31,60,36,13,0,11,39,0,0,21,67,.225,.288,.397,.685,82,106,6,3,0,1,0,2/DH,darnatr01
210,Brendan Donovan,11,2023,26,STL,NL,95,371,327,48,93,71,10,1,11,34,5,1,33,53,.284,.365,.422,.787,115,138,4,9,1,1,2,47D3H/956,donovbr01
211,Kyle Farmer,11,2023,32,MIN,AL,120,369,336,49,86,59,14,2,11,46,2,4,23,86,.256,.317,.408,.725,98,137,7,8,0,2,0,456H/37D,farmeky01
212,Riley Greene,11,2023,22,DET,AL,99,416,378,51,109,75,19,4,11,37,7,0,35,114,.288,.349,.447,.796,117,169,7,1,0,2,0,8/D79H,greenri03
213,Kiké Hernández,11,2023,31,BOSLAD,ALNL,140,508,465,57,110,76,23,0,11,61,4,1,34,97,.237,.289,.357,.646,74,166,17,3,0,6,1,648573H/9,hernaen02
214,Andy Ibañez,11,2023,30,DET,AL,114,383,356,42,94,58,23,2,11,41,1,0,24,69,.264,.312,.433,.744,102,154,7,1,1,1,0,4H57/93D,ibanean01
215,Connor Joe,11,2023,30,PIT,NL,133,472,413,63,102,56,31,4,11,42,3,5,50,110,.247,.339,.421,.760,107,174,4,8,0,1,0,937H/D,joeco01
216,Jarred Kelenic,11,2023,23,SEA,AL,105,416,372,44,94,56,25,2,11,49,13,5,41,132,.253,.327,.419,.746,109,156,6,1,0,2,4,79/8HD,kelenja01
217,Alex Kirilloff,11,2023,25,MIN,AL,88,319,281,35,76,50,14,1,11,41,1,0,28,80,.270,.348,.445,.793,117,125,2,7,0,3,1,3H97/D,kirilal01
218,Evan Longoria,11,2023,37,ARI,NL,74,237,211,25,47,27,9,0,11,28,0,0,23,73,.223,.295,.422,.717,93,89,8,0,0,3,0,5DH,longoev01
219,Whit Merrifield,11,2023,34,TOR,AL,145,592,547,66,149,111,27,0,11,67,26,10,36,101,.272,.318,.382,.700,94,209,15,3,0,6,2,47/H9,merriwh01
220,Yoán Moncada,11,2023,28,CHW,AL,92,357,334,39,87,55,20,1,11,40,1,0,20,107,.260,.305,.425,.730,97,142,6,2,0,1,0,5/H,moncayo01
221,Elehuris Montero,11,2023,24,COL,NL,85,307,284,40,69,41,15,2,11,39,0,0,15,111,.243,.290,.426,.716,82,121,5,5,0,3,0,3D5/H,monteel01
222,Bo Naylor,11,2023,23,CLE,AL,67,230,198,33,47,23,13,0,11,32,5,0,30,53,.237,.339,.470,.809,124,93,2,1,0,1,1,2/H,naylobo01
223,DJ Stewart,11,2023,29,NYM,NL,58,185,160,21,39,19,9,0,11,26,1,1,15,56,.244,.333,.506,.840,128,81,3,7,1,1,0,9/HD7,stewadj01
224,Gabriel Arias,10,2023,23,CLE,AL,122,345,315,36,66,41,15,0,10,26,3,4,28,113,.210,.275,.352,.628,75,111,9,1,0,1,0,63H95/D4,ariasga01
225,Luis Arráez,10,2023,26,MIA,NL,147,617,574,71,203,160,30,3,10,69,3,2,35,34,.354,.393,.469,.861,133,269,18,4,1,3,10,*43/HD,arraelu01
226,JJ Bleday,10,2023,25,OAK,AL,82,303,256,35,50,29,11,0,10,27,5,1,42,72,.195,.310,.355,.666,91,91,3,2,0,3,0,789/HD,bledajj01
227,Kris Bryant,10,2023,31,COL,NL,80,335,300,36,70,50,10,0,10,31,0,0,29,68,.233,.313,.367,.680,76,110,6,6,0,0,0,9D/37H,bryankr01
228,Jake Cronenworth,10,2023,29,SDP,NL,127,522,458,54,105,64,24,7,10,48,6,1,46,97,.229,.312,.378,.689,92,173,8,11,1,5,2,34/H,croneja01
229,Jordan Diaz,10,2023,22,OAK,AL,90,293,272,20,60,41,9,0,10,27,0,1,17,69,.221,.273,.364,.637,81,99,10,3,0,1,0,54D/H3,diazjo03
230,Brenton Doyle,10,2023,25,COL,NL,126,431,399,48,81,50,16,5,10,48,22,5,22,151,.203,.250,.343,.593,52,137,9,4,3,3,0,*8/H,doylebr02
231,Mauricio Dubón,10,2023,28,HOU,AL,132,492,467,76,130,91,26,3,10,46,7,2,19,70,.278,.309,.411,.720,97,192,10,3,0,3,0,48H/67395,dubonma01
232,Yan Gomes,10,2023,35,CHC,NL,116,419,382,44,102,70,20,2,10,63,1,0,21,81,.267,.315,.408,.723,93,156,9,9,0,7,1,2DH,gomesya01
233,Robbie Grossman,10,2023,33,TEX,AL,115,420,353,56,84,50,23,1,10,49,1,0,57,98,.238,.340,.394,.734,100,139,8,2,0,8,0,7D9H,grossro01
234,Kyle Higashioka,10,2023,33,NYY,AL,92,260,242,24,57,34,13,0,10,34,0,0,14,74,.236,.274,.413,.687,85,100,5,0,1,3,0,2/HD,higasky01
235,Andrew Knizner,10,2023,28,STL,NL,70,241,224,30,54,33,11,0,10,31,2,0,12,62,.241,.288,.424,.712,92,95,8,3,1,1,0,2/H3D,kniznan01
236,Jeff McNeil,10,2023,31,NYM,NL,156,648,585,75,158,119,25,4,10,55,10,0,39,65,.270,.333,.378,.711,96,221,5,18,3,3,0,497/H836,mcneije01
237,Jake Meyers,10,2023,27,HOU,AL,112,341,309,42,70,43,16,1,10,33,5,2,26,88,.227,.296,.382,.678,86,118,2,5,0,1,0,8H/7D,meyerja02
238,Joshua Palacios,10,2023,27,PIT,NL,91,264,247,26,59,38,9,2,10,40,5,0,12,56,.239,.279,.413,.692,86,102,7,2,2,1,0,9H78/D,palacjo01
239,Jeremy Peña,10,2023,25,HOU,AL,150,634,577,81,152,107,32,3,10,52,13,9,43,129,.263,.324,.381,.705,95,220,11,9,1,1,1,*6,penaje02
240,Gavin Sheets,10,2023,27,CHW,AL,118,344,311,24,63,43,10,0,10,43,1,0,28,66,.203,.267,.331,.599,63,103,6,1,0,4,2,9H3D/7,sheetga01
241,Edmundo Sosa,10,2023,27,PHI,NL,104,300,279,34,70,43,15,2,10,30,4,2,8,74,.251,.293,.427,.719,95,119,10,9,2,1,0,56H/48,sosaed01
242,Tyrone Taylor,10,2023,29,MIL,NL,81,243,231,36,54,26,17,1,10,35,9,0,8,55,.234,.267,.446,.713,91,103,10,3,0,1,0,97H/8D,tayloty01
243,Matt Vierling,10,2023,26,DET,AL,134,530,479,63,125,89,21,5,10,44,6,6,44,112,.261,.329,.388,.717,96,186,8,5,1,1,1,*9758H/4,vierlma01
244,Brian Anderson,9,2023,30,MIL,NL,96,361,318,38,72,48,12,3,9,40,1,3,36,108,.226,.310,.368,.678,86,117,10,4,0,3,0,59/HD,anderbr06
245,Javier Báez,9,2023,30,DET,AL,136,547,510,58,113,82,18,4,9,59,12,0,24,125,.222,.267,.325,.593,62,166,12,9,0,3,0,*6/DH,baezja01
246,Brett Baty,9,2023,23,NYM,NL,108,389,353,41,75,54,12,0,9,34,2,0,29,109,.212,.275,.323,.598,65,114,8,2,1,1,0,5/HD7,batybr01
247,Cavan Biggio,9,2023,28,TOR,AL,111,338,289,54,68,47,12,0,9,40,5,2,40,88,.235,.340,.370,.710,98,107,0,7,0,2,0,4H935/D6,biggica01
248,Willi Castro,9,2023,26,MIN,AL,124,409,358,60,92,60,18,5,9,34,33,5,34,99,.257,.339,.411,.750,106,147,5,12,2,3,1,785H4/691D,castrwi01
249,Freddy Fermin,9,2023,28,KCR,AL,70,235,217,26,61,41,10,1,9,32,0,0,13,50,.281,.321,.461,.781,112,100,11,1,1,3,0,2/HD,fermifr01
250,Luis García,9,2023,23,WSN,NL,122,482,447,61,119,88,18,4,9,50,9,4,27,60,.266,.304,.385,.688,90,172,10,0,1,7,1,*4H,garcilu04
251,Stone Garrett,9,2023,27,WSN,NL,89,271,234,40,63,37,17,0,9,40,3,1,26,82,.269,.343,.457,.801,120,107,6,3,0,5,0,7H9/D,garrest01
252,Nico Hoerner,9,2023,26,CHC,NL,150,688,619,98,175,135,27,4,9,68,43,7,49,83,.283,.346,.383,.729,97,237,12,14,1,5,0,*46/DH,hoernni01
253,Ramón Laureano,9,2023,28,CLEOAK,AL,105,404,361,46,81,50,18,4,9,35,12,1,33,114,.224,.304,.371,.676,91,134,9,9,0,1,0,98/HD,laurera01
254,Zach McKinstry,9,2023,28,DET,AL,148,518,464,60,107,73,21,4,9,35,16,6,44,113,.231,.302,.351,.654,79,163,3,5,2,3,0,549H67/8D1,mckinza01
